Period,Time Period,Prior,Posterior,DOFS,BiasPrior,BiasPosterior,RMSEPrior,RMSEPosterior
1,9/01 > 9/28,1.11,1.37,11.7,-1.47,0.21,8.7,7.38
2,9/29 > 10/26,1.303,0.98,7.5,0.92,0.46,7.79,7.31
3,10/27 > 11/23,1,1.36,10.7,0.98,0.43,8.85,8.17
4,11/24 > 12/21,1.41,1.66,16,2.18,0.17,9.5,8.68
5,12/22 > 1/18,1.69,1.71,10.8,2.01,0.54,10.33,9.94
6,1/19 > 2/15,1.69,1.49,11.4,2.9,0.43,9.94,9.24
7,2/16 > 3/15,1.46,1.36,10.3,1.78,0.22,9.33,8.42
8,3/16 > 4/12,1.38,1.5,6.8,0.8,-0.28,7.63,7.35
9,4/13 > 5/10,1.55,1.62,7.8,3.23,-0.11,8.91,8.01
10,5/11 > 6/7,1.66,1.78,8.2,1.71,-0.12,8.09,7.44
11,6/8 > 7/5,1.77,1.83,9.8,0.95,0.54,7.47,7.02
12,7/6 > 8/2,1.8,1.47,7.77,0.03,0.4,6.65,6.42
13,8/3 > 8/30,1.4,1.56,5.53,-1.76,-0.23,6.9,6.4
14,8/31 > 9/27,1.51,1.24,11.4,1.18,0.78,8.99,8.32
15,9/28 > 10/25,1.22,1.45,13.62,1.9,0.37,8.34,7.39
16,10/26 > 11/22,1.46,1.44,13.4,2.36,0.56,9.56,8.93
17,11/23 > 12/20,1.49,2.47,16.5,0.98,0.52,10.15,9.81